Content,Video title,Video publish time,Duration,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs dislikes) (%),Shares,Comments added,Remix count,Remix views,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Hypes,Hype points,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
VE6EZGr29NA,Chikiri 👌 Lyrics💀,"Nov 11, 2025",16.0,562,82,15593,670,95.88,157,69,11.0,6533.0,891614,0:00:15,98.03,67.24,0,0,1794814,4089.6655,480,10891,6.88
H6yMF28ZyQk,IBOMMA RAVI Case Solved!,"Nov 19, 2025",6.0,41,14,2365,82,96.65,13,15,,,155069,0:00:13,219.1,76.05,0,0,489865,589.3004,27,877,3.88
irfyNRSMh88,ME IN 2025,"Dec 3, 2025",12.0,10,0,141,6,95.92,5,0,,,14483,0:00:12,104.64,75.36,0,0,29662,52.825,10,476,3.57
NA2ZvoTvR6c,"If you can survive this, you can survive anything!","Dec 22, 2025",8.0,6,0,236,3,98.74,83,5,,,13960,0:00:09,118.19,74.36,0,0,29639,39.192,6,443,6.32
38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35.0,5,0,55,6,90.16,5,0,,,7420,0:00:24,70.31,57.63,0,0,15884,53.6322,5,554,1.08
GF8AlYrIgZU,ME checking SAM and CHAI wedding's' updates,"Dec 7, 2025",16.0,3,2,105,3,97.22,1,0,,,12429,0:00:16,103.05,68.19,0,0,28466,59.4373,1,455,4.4
_NHDRz_k2KE,FANS ❌ JOKERS 🤡,"Jan 11, 2026",7.0,2,0,93,1,98.94,0,2,,,12311,0:00:10,149.7,65.15,0,0,32516,39.356,2,191,9.95
N5mR2NJkOUk,DISTRACTION 💀,"Nov 12, 2025",18.0,2,0,38,0,100.0,0,1,,,924,0:00:14,81.95,58.01,0,0,1992,4.0631,2,1197,4.51
alXku3El7Hk,Paaapam raa..,"Jan 31, 2026",5.0,2,0,216,5,97.74,41,2,,,12440,0:00:09,188.08,70.4,0,0,34387,34.8431,2,83,19.28
ChDXs6Ctqck,Dad teaching math,"Oct 26, 2025",6.0,1,0,14,0,100.0,2,1,,,707,0:00:07,122.37,55.74,0,0,1733,1.6985,1,753,4.38
XkBlOMbgeQ8,Ante final ga meeru meru...,"Jan 30, 2026",6.0,1,0,34,2,94.44,2,1,,,2734,0:00:08,136.99,70.42,0,0,6893,6.8591,1,235,8.94
