Date,Content,Video title,Video publish time,Duration,Subscribers gained
2025-10-26,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-10-27,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-10-28,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-10-29,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-10-30,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-10-31,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-01,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-02,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-03,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-04,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-05,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-06,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-07,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-08,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-09,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-10,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-11,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-12,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-13,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-14,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-15,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-16,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-17,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-18,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-19,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-20,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-21,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-22,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-23,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-24,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-25,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-26,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-27,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-28,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-29,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-11-30,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-01,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-02,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,1
2025-12-03,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,0
2025-12-04,38KNroE0RcI,Daddy covering after hurting MOM 😅😂,"Dec 2, 2025",35,1
